"Período";"Producción Petrolera Nacional en Barriles - Diaria"
"2018-08-27 00:00:00";529032,95
"2018-08-28 00:00:00";531584,46
"2018-08-29 00:00:00";530167,98
"2018-08-30 00:00:00";529503,05
"2018-08-31 00:00:00";528062,24
"2018-09-01 00:00:00";526073,01
"2018-09-02 00:00:00";509057,42
"2018-09-03 00:00:00";511627,57
"2018-09-04 00:00:00";524275,53
"2018-09-05 00:00:00";512040,56
"2018-09-06 00:00:00";522226,27
"2018-09-07 00:00:00";520214,97
"2018-09-08 00:00:00";521549
"2018-09-09 00:00:00";517916,25
"2018-09-10 00:00:00";495288,69
"2018-09-11 00:00:00";526065,63
"2018-09-12 00:00:00";524792,63
"2018-09-13 00:00:00";525254,78
"2018-09-14 00:00:00";520930,67
"2018-09-15 00:00:00";515964,72
"2018-09-16 00:00:00";516990,63
"2018-09-17 00:00:00";521128,63
"2018-09-18 00:00:00";521863,22
"2018-09-19 00:00:00";511156,16
"2018-09-20 00:00:00";512898,45
"2018-09-21 00:00:00";513858,38
"2018-09-22 00:00:00";520720,11
"2018-09-23 00:00:00";520078,71
"2018-09-24 00:00:00";516594,4
"2018-09-25 00:00:00";520320,88
"2018-09-26 00:00:00";520906,74
"2018-09-27 00:00:00";519611,07
"2018-09-28 00:00:00";521727,87
"2018-09-29 00:00:00";521851,45
"2018-09-30 00:00:00";522018,69
"2018-10-01 00:00:00";520801,51
"2018-10-02 00:00:00";522021,15
"2018-10-03 00:00:00";520381,69
"2018-10-04 00:00:00";518317,77
"2018-10-05 00:00:00";511993,49
"2018-10-06 00:00:00";514999,94
"2018-10-07 00:00:00";517157,8
"2018-10-08 00:00:00";471728,56
"2018-10-09 00:00:00";504686,03
"2018-10-10 00:00:00";513812,49
"2018-10-11 00:00:00";518933,08
"2018-10-12 00:00:00";519190,5
"2018-10-13 00:00:00";518103,06
"2018-10-14 00:00:00";518543,48
"2018-10-15 00:00:00";507811,05
"2018-10-16 00:00:00";517531,48
"2018-10-17 00:00:00";512967,61
"2018-10-18 00:00:00";516515,6
"2018-10-19 00:00:00";516630,06
"2018-10-20 00:00:00";515314,25
"2018-10-21 00:00:00";515208,3
"2018-10-22 00:00:00";510865,61
"2018-10-23 00:00:00";514725,65
"2018-10-24 00:00:00";516162,77
"2018-10-25 00:00:00";515114
"2018-10-26 00:00:00";513498,73
"2018-10-27 00:00:00";512991,53
"2018-10-28 00:00:00";513851,89
"2018-10-29 00:00:00";511301,91
"2018-10-30 00:00:00";507597,65
"2018-10-31 00:00:00";509460,62
"2018-11-01 00:00:00";511299
"2018-11-02 00:00:00";511021,12
"2018-11-03 00:00:00";513123,89
"2018-11-04 00:00:00";513925,43
"2018-11-05 00:00:00";518009,05
"2018-11-06 00:00:00";515575,15
"2018-11-07 00:00:00";516764,11
"2018-11-08 00:00:00";510225,38
"2018-11-09 00:00:00";515929,28
"2018-11-10 00:00:00";515421,73
"2018-11-11 00:00:00";515229,16
"2018-11-12 00:00:00";513704,95
"2018-11-13 00:00:00";515025,97
"2018-11-14 00:00:00";513978,08
"2018-11-15 00:00:00";515350,63
"2018-11-16 00:00:00";514496,07
"2018-11-17 00:00:00";514617,33
"2018-11-18 00:00:00";515583,03
"2018-11-19 00:00:00";515580
"2018-11-20 00:00:00";515127,24
"2018-11-21 00:00:00";515738,45
"2018-11-22 00:00:00";516345,31
"2018-11-23 00:00:00";515873,18
"2018-11-24 00:00:00";516751,25
"2018-11-25 00:00:00";516323,9
"2018-11-26 00:00:00";516521,4
"2018-11-27 00:00:00";516741,3
"2018-11-28 00:00:00";517139,13
"2018-11-29 00:00:00";516426,5
"2018-12-01 00:00:00";513607,38
"2018-12-02 00:00:00";516028,64
"2018-12-03 00:00:00";513935,05
"2018-12-04 00:00:00";513524,36
"2018-12-05 00:00:00";516770,96
"2018-12-06 00:00:00";517089,56
"2018-12-07 00:00:00";520203,41
"2018-12-08 00:00:00";516759,74
"2018-12-09 00:00:00";517895,64
"2018-12-10 00:00:00";519042,18
"2018-12-11 00:00:00";516909,68
"2018-12-12 00:00:00";517959,96
"2018-12-13 00:00:00";516387,22
"2018-12-14 00:00:00";516089,22
"2018-12-15 00:00:00";516145,85
"2018-12-16 00:00:00";519704,4
"2018-12-17 00:00:00";519782,73
"2018-12-18 00:00:00";520682,64
"2018-12-19 00:00:00";518508,49
"2018-12-20 00:00:00";520993,51
"2018-12-21 00:00:00";522187,25
"2018-12-22 00:00:00";522697,97
"2018-12-23 00:00:00";521934,38
"2018-12-24 00:00:00";521967,51
"2018-12-25 00:00:00";521998,75
"2018-12-26 00:00:00";524214,47
"2018-12-27 00:00:00";524136,75
"2019-01-01 00:00:00";523822,04
"2019-01-02 00:00:00";522518,27
"2019-01-03 00:00:00";521823,47
"2019-01-04 00:00:00";520992,3
"2019-01-05 00:00:00";521369,47
"2019-01-06 00:00:00";520768,22
"2019-01-07 00:00:00";520061,2
"2019-01-08 00:00:00";518868,46
"2019-01-09 00:00:00";520670,92
"2019-01-10 00:00:00";518759,69
"2019-01-11 00:00:00";500725,51
"2019-01-12 00:00:00";521239,74
"2019-01-13 00:00:00";524762,35
"2019-01-14 00:00:00";520668,58
"2019-01-15 00:00:00";523634,45
"2019-01-16 00:00:00";523119,62
"2019-01-17 00:00:00";523390,63
"2019-01-18 00:00:00";524664,7
"2019-01-19 00:00:00";524181,07
"2019-01-20 00:00:00";523663,31
"2019-01-21 00:00:00";517758,29
"2019-01-22 00:00:00";521822,39
"2019-01-23 00:00:00";528501,9
"2019-01-24 00:00:00";528926,12
"2019-01-25 00:00:00";530159,04
"2019-01-26 00:00:00";529745,78
"2019-01-27 00:00:00";531937,31
"2019-01-28 00:00:00";531501,54
"2019-01-29 00:00:00";531221,77
"2019-01-30 00:00:00";536230,99
"2019-01-31 00:00:00";532859,57
"2019-02-01 00:00:00";536820,93
"2019-02-02 00:00:00";536221,71
"2019-02-03 00:00:00";538357,56
"2019-02-04 00:00:00";537133,09
"2019-02-05 00:00:00";530256,42
"2019-02-06 00:00:00";534139,96
"2019-02-07 00:00:00";518798,12
"2019-02-08 00:00:00";530901,89
"2019-02-09 00:00:00";531472,6
"2019-02-10 00:00:00";532573,71
"2019-02-11 00:00:00";533884,87
"2019-02-12 00:00:00";534138,01
"2019-02-13 00:00:00";523690,42
"2019-02-14 00:00:00";531390,37
"2019-02-15 00:00:00";534845,1
"2019-02-16 00:00:00";534470,87
"2019-02-17 00:00:00";534349,05
"2019-02-18 00:00:00";534208,93
"2019-02-19 00:00:00";534580,94
"2019-02-20 00:00:00";535898,32
"2019-02-21 00:00:00";536227,06
"2019-02-22 00:00:00";536720,58
"2019-02-23 00:00:00";535674,06
"2019-02-24 00:00:00";535874,3
"2019-02-25 00:00:00";534498,55
"2019-02-26 00:00:00";528292,23
"2019-02-27 00:00:00";534622,6
"2019-02-28 00:00:00";534033,39
"2019-03-01 00:00:00";532990,89
"2019-03-02 00:00:00";530901,18
"2019-03-03 00:00:00";531127,31
"2019-03-04 00:00:00";530112,17
"2019-03-05 00:00:00";530872,72
"2019-03-06 00:00:00";531200,43
"2019-03-07 00:00:00";529792,08
"2019-03-08 00:00:00";529540,63
"2019-03-09 00:00:00";531085,74
"2019-03-10 00:00:00";531376,78
"2019-03-11 00:00:00";532619,96
"2019-03-12 00:00:00";532212,8
"2019-03-13 00:00:00";531197,91
"2019-03-14 00:00:00";498448,82
"2019-03-15 00:00:00";520709,59
"2019-03-16 00:00:00";529676,34
"2019-03-17 00:00:00";532954,01
"2019-03-18 00:00:00";533058,21
"2019-03-19 00:00:00";533926,01
"2019-03-20 00:00:00";532953
"2019-03-21 00:00:00";533108,89
"2019-03-22 00:00:00";532947,81
"2019-03-23 00:00:00";533219,6
"2019-03-24 00:00:00";534830,1
"2019-03-25 00:00:00";534539,84
"2019-03-26 00:00:00";534214,81
"2019-03-27 00:00:00";532304,56
"2019-03-28 00:00:00";530600,6
"2019-03-29 00:00:00";520709,5
"2019-03-30 00:00:00";529965,54
"2019-03-31 00:00:00";531345,96
"2019-04-01 00:00:00";530600,39
"2019-04-02 00:00:00";524284,09
"2019-04-03 00:00:00";521040,46
"2019-04-04 00:00:00";520228,55
"2019-04-05 00:00:00";521205,08
"2019-04-06 00:00:00";523063,72
"2019-04-07 00:00:00";528053,16
"2019-04-08 00:00:00";531208,16
"2019-04-09 00:00:00";530078,65
"2019-04-10 00:00:00";530111,55
"2019-04-11 00:00:00";530219,97
"2019-04-12 00:00:00";529607,51
"2019-04-13 00:00:00";530707,12
"2019-04-14 00:00:00";527122,71
"2019-04-15 00:00:00";533175,24
"2019-04-16 00:00:00";530887,52
"2019-04-17 00:00:00";532217,66
"2019-04-18 00:00:00";531477,03
"2019-04-19 00:00:00";476643,82
"2019-04-20 00:00:00";530955,93
"2019-04-21 00:00:00";532884,47
"2019-04-22 00:00:00";532170,64
"2019-04-23 00:00:00";533652,02
"2019-04-24 00:00:00";536515,92
"2019-04-25 00:00:00";536964,69
"2019-04-26 00:00:00";537227,82
"2019-04-27 00:00:00";536819,46
"2019-04-28 00:00:00";536217,71
"2019-04-29 00:00:00";536447,01
"2019-04-30 00:00:00";536786,21
"2019-05-01 00:00:00";536118,73
"2019-05-02 00:00:00";536392,41
"2019-05-03 00:00:00";536235,98
"2019-05-04 00:00:00";536396,06
"2019-05-05 00:00:00";536385,88
"2019-05-06 00:00:00";537810,27
"2019-05-07 00:00:00";536920,15
