SQLDATE,avg_goldstein,avg_tone,event_count
20110424,2.4999999999999996,3.4290453263740064,3
20110423,-0.15999999999999998,4.3091100874800663,15
20110422,2.2375,8.1905609956761012,8
20110421,3.2800000000000002,5.5201790535739681,5
20110420,2.8125,5.7476978291123126,16
20110419,0.63809523809523794,6.1290730853975974,21
20110418,2.2461538461538462,5.8895843678452362,13
20110417,-1,3.82702746033875,3
20110415,2.5428571428571423,5.5881962025823189,7
20110414,2.2857142857142856,4.8328720459867984,7
20110413,6.7142857142857144,7.7483171957060275,21
20110412,0.36666666666666675,6.0364281346099693,21
20110411,2.7947368421052627,7.6331979822685536,19
20110410,0.62857142857142811,5.1104117036153429,7
20110409,-4.6,5.66666666666667,5
20110408,3.4428571428571422,6.7989607681177029,28
20110407,-1.1393442622950822,6.7628876737689572,61
20110406,-0.15925925925925932,6.4486908406862593,27
20110405,0.22857142857142876,7.1121304260469049,42
20110404,3.9,8.4071140221867431,6
20110403,1.6514285714285712,6.0155524882387459,35
20110402,5,5.1368850165860707,2
20110401,1.4597402597402596,6.1570704022146412,77
20110331,1.2826086956521738,6.8957134765292034,46
20110330,-0.37142857142857155,4.45957604383743,7
20110329,2.157142857142857,7.0266854357483,14
20110328,1.9,7.757686348227562,5
20110326,5.6,9.34217799889442,3
20110325,2.3499999999999996,6.23818525519849,4
20110324,3.28,8.1448387763056527,5
20110323,2.0999999999999996,5.2520583354199584,18
20110322,-0.275,4.1913417787270628,4
20110319,3.4,5.7675002921584682,5
20110318,3.9000000000000004,7.0104196829511531,3
20110317,1.9,3.4355773933637019,12
20110315,3.2,5.62878839296566,12
20110314,1.8181818181818179,5.972816953066781,11
20110312,0.34285714285714264,3.1803192904774664,14
20110311,0.45714285714285718,4.0060766982103715,28
20110310,-1.7,4.5727556038749579,5
20110309,3.2,6.3230759177412921,15
20110308,0.35999999999999982,5.7746532439712777,5
20110307,3,4.9956584071084835,3
20110306,2.26,8.2271907957813966,10
20110305,1.7199999999999998,4.40943629150721,5
20110304,3.2600000000000002,4.6936693501041473,15
20110303,1.7736842105263155,5.4643563341327885,19
20110302,2.74,4.4070399433539427,20
20110301,2.9961538461538471,4.6471235390368895,26
20110228,3.0625,5.4382708280896059,8
20110227,1,7.25190839694656,1
20110226,0.73999999999999977,4.2026827806738,5
20110225,2.3499999999999996,4.265726323544242,8
20110224,4.0857142857142854,10.275665981142122,14
20110223,2.1035714285714291,4.7079970952172214,28
20110222,1.9642857142857142,5.4217399664466264,14
20110221,2.0542857142857138,5.9062409694227842,35
20110220,2.3846153846153841,5.1264269178353876,13
20110219,0.14285714285714279,3.6822234545420396,14
20110217,1.6388888888888886,3.7787069061935865,18
20110216,0.11842105263157886,3.5366559651922165,38
20110215,-0.35789473684210527,4.2649332070160018,38
20110214,-2.8896551724137933,3.7628165018483797,29
20110213,1.9,3.63937138130687,1
20110211,1.3,6.5987189068176537,3
20110210,1.8999999999999997,4.8640745099876392,23
20110209,0.0625,3.1779382888184511,16
20110208,0.39999999999999958,7.3498233085166529,4
20110207,0.89090909090909065,5.3428717278834394,11
20110206,5.6000000000000005,7.7290974793551435,3
20110204,0.19999999999999996,5.3095304553194635,6
20110203,2.8576923076923078,6.1474327367152171,26
20110202,1.2374999999999998,5.4476542924716309,8
20110201,2.94,6.0892746135470288,30
20110131,2.2115384615384617,4.0238962817053467,26
20110130,2.3499999999999996,6.50406504065041,10
20110129,2.125,1.7611739714744,4
20110128,2.2777777777777777,3.505298422512757,27
20110127,2.3499999999999996,6.48148148148148,2
20110126,2.0799999999999996,5.0601598825352792,15
20110125,5,7.69230769230769,1
20110124,3.3647058823529408,5.5781013786102358,17
20110123,0.54,5.6710775047259,5
20110122,-3.5,5.2156633946773487,10
20110119,2.3499999999999996,4.96575342465753,2
20110117,4,3.84557171432719,4
20110116,2.3499999999999996,6.09896432681243,2
20110115,1.8999999999999997,4,6
20110114,-0.10000000000000009,4.8808876334004454,6
20110113,-2.55,6.3674569555943776,6
20110112,2.3499999999999996,8.0479435095563616,10
20110111,1.9,5.9467794048102238,13
20110110,-0.10000000000000009,4.419866947132677,3
20110109,2.5,5.72519083969466,3
20110107,3.8999999999999995,6.920025351930823,3
20110106,1.9,6.6850878298576752,13
20110105,2.1999999999999997,6.2075191324031636,3
20110104,2.3499999999999996,2.43243243243243,2
20110103,1.2624999999999997,5.0340234244792281,8
20110102,4.4499999999999993,3.8069265998725639,10
20110101,7,8.41121495327103,2
20101231,1.1166666666666667,6.7729092950892689,6
20101230,2.6333333333333333,6.0353092814035669,9
20101229,2.74,3.5815871008539739,5
20101228,1.75,7.34361856108719,6
20101227,3.7249999999999996,6.157905610733426,24
20101226,2.4625,5.4954850343911072,8
20101225,5.0703389830508474,5.8786938823209338,118
20101224,1.6769230769230767,3.4127289685974835,39
20101223,0.52666666666666662,4.5548443857710943,15
20101222,2,5.9842764680180709,21
20101221,-6.5,3.45911949685535,1
20101220,2.8375,5.4479706714634135,24
20101219,2.3499999999999996,3.79746835443038,2
20101217,-1.47,4.6060585798954383,10
20101216,1.747222222222222,6.5316250006910739,36
20101215,0.55666666666666642,5.1981571852987676,30
20101214,1.9037037037037039,6.01905335488373,27
20101213,1.7,5.4979870149575474,22
20101212,1.4499999999999997,4.7696123841620555,12
20101211,3.174,5.0132509346991379,50
20101210,2.1548387096774193,5.2626481580442208,31
20101209,2.1045454545454545,5.7993407461602677,22
20101208,0.32857142857142863,6.6534801040508995,7
20101207,0.57142857142857151,6.5638994948922642,21
20101206,2.2615384615384615,7.5820602867157705,26
20101205,1.4181818181818178,4.3578120570666217,11
20101204,-1.0333333333333337,4.5211865781909983,24
20101203,2.3,3.7586696072003347,9
20101202,1.0263157894736841,5.3534498609799774,19
20101201,-0.9118644067796613,5.4645540544138118,59
20101130,0.42916666666666659,4.4034949103084875,24
20101129,0.6846153846153844,5.9211457579802866,13
20101128,3.0142857142857138,6.1853762856271475,7
20101127,1.2599999999999998,4.19996575062148,5
20101126,2.8000000000000003,6.0020778454094241,28
20101125,2.3407821229050265,3.8660301594358986,179
20101124,1.1964285714285714,4.8441012477749545,28
20101123,1.2920000000000003,5.4167601118627493,25
20101122,4.1199999999999992,4.188405008409342,5
20101120,-1.1375,6.23382657985416,8
20101118,0.8944444444444446,6.0192721735429222,36
